timestamp,run_id,from_cloud,from_region,to_cloud,to_region,bitrate_Bps,avgrtt
2022-02-03T18:18:14Z,womomo,GCP,europe-west6,GCP,southamerica-east1,117571584.0,207.749
2022-02-03T18:18:09Z,womomo,GCP,northamerica-northeast2,GCP,us-east1,420872192.0,33.74
2022-02-03T18:18:09Z,womomo,GCP,northamerica-northeast1,GCP,southamerica-east1,32243712.0,128.045
2022-02-03T18:18:09Z,womomo,GCP,northamerica-northeast1,GCP,us-east1,478019584.0,29.203
2022-02-03T18:18:09Z,womomo,GCP,us-east1,GCP,southamerica-east1,194379776.0,117.691
2022-02-03T18:18:17Z,womomo,GCP,us-central1,GCP,us-east1,300810240.0,32.48
2022-02-03T18:18:11Z,womomo,GCP,southamerica-east1,GCP,europe-west6,127008768.0,208.687
2022-02-03T18:18:09Z,womomo,GCP,northamerica-northeast2,GCP,southamerica-east1,132120576.0,139.93
2022-02-03T18:18:17Z,womomo,GCP,us-central1,GCP,northamerica-northeast2,296615936.0,23.294
2022-02-03T18:18:09Z,womomo,GCP,northamerica-northeast2,GCP,northamerica-northeast1,568066048.0,12.324
2022-02-03T18:18:16Z,womomo,GCP,us-east1,GCP,us-central1,152174592.0,32.455
2022-02-03T18:18:13Z,womomo,GCP,europe-west6,GCP,us-east1,113770496.0,104.208
2022-02-03T18:18:13Z,womomo,GCP,europe-west6,GCP,northamerica-northeast2,182714368.0,100.985
2022-02-03T18:18:11Z,womomo,GCP,southamerica-east1,GCP,northamerica-northeast2,60293120.0,135.632
2022-02-03T18:18:09Z,womomo,GCP,us-east1,GCP,northamerica-northeast1,377094144.0,27.333
2022-02-03T18:18:20Z,womomo,GCP,southamerica-east1,GCP,us-central1,185073664.0,136.213
2022-02-03T18:18:16Z,womomo,GCP,northamerica-northeast2,GCP,europe-west6,161349632.0,100.887
2022-02-03T19:15:47Z,jafuko,GCP,us-west3,GCP,us-west1,126615552.0,31.659
2022-02-03T19:15:48Z,jafuko,GCP,us-west1,GCP,us-west4,302776320.0,31.897
2022-02-03T19:15:47Z,jafuko,GCP,us-west3,GCP,us-east4,46268416.0,45.52
2022-02-03T19:15:48Z,jafuko,GCP,us-west2,GCP,us-west1,356909056.0,25.501
2022-02-03T19:15:48Z,jafuko,GCP,us-west4,GCP,us-west2,785645568.0,8.031
2022-02-03T19:15:48Z,jafuko,GCP,us-west1,GCP,us-west2,546308096.0,25.629
2022-02-03T19:15:48Z,jafuko,GCP,us-west2,GCP,us-east4,49545216.0,68.57
2022-02-03T19:15:46Z,jafuko,GCP,us-east4,GCP,us-west1,259260416.0,57.421
2022-02-03T19:15:48Z,jafuko,GCP,us-west1,GCP,us-west3,206962688.0,31.164
